radian measurement is represented as rad
	rad 	|	cos	|	sin	|	tan
----------------------------------------------------------------------------------------
	0	|	1.0	|	0.0	|	0.0
	15	|	0.966	|	0.258	|	0.267
	30	|	0.867	|	0.499	|	0.576
	45	|	0.708	|	0.706	|	0.996
	60	|	0.502	|	0.865	|	1.722
	75	|	0.262	|	0.965	|	3.686
	90	|	0.004	|	1.0	|	269.055
	105	|	-0.255	|	0.967	|	-3.798
	120	|	-0.496	|	0.868	|	-1.752
	135	|	-0.703	|	0.711	|	-1.011
	150	|	-0.863	|	0.505	|	-0.586
	165	|	-0.964	|	0.265	|	-0.275
	180	|	-1.0	|	0.007	|	-0.007
	195	|	-0.968	|	-0.251	|	0.259
	210	|	-0.87	|	-0.492	|	0.566
	225	|	-0.714	|	-0.701	|	0.982
	240	|	-0.509	|	-0.861	|	1.693
	255	|	-0.269	|	-0.963	|	3.581
	270	|	-0.011	|	-1.0	|	89.682
	285	|	0.247	|	-0.969	|	-3.916
	300	|	0.489	|	-0.872	|	-1.783
	315	|	0.698	|	-0.716	|	-1.026
	330	|	0.859	|	-0.512	|	-0.596
	345	|	0.962	|	-0.273	|	-0.283
	360	|	1.0	|	-0.015	|	-0.015
